Unnamed: 0,trans_date_trans_time,cc_num,merchant,category,amt,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,trans_num,unix_time,merch_lat,merch_long,is_fraud,distance
198278,2020-08-30 09:38:04,346273234529002,fraud_Stamm-Rodriguez,misc_pos,8.34,Donna,Moreno,F,32301 Albert River Suite 364,Ronceverte,WV,24970,37.7418,-80.4626,4575,Statistician,1991-10-22,1836b9811d54ce511b0740cfecb94ec1,1377855484,38.67304,-80.077727,0,3.76422476768494
327451,2020-10-24 23:12:19,4740713119940984,"fraud_Mosciski, Ziemann and Farrell",shopping_net,826.38,Heather,Hines,F,13776 Hicks Plains,Pomona,NY,10970,41.1901,-74.0436,9993,Pensions consultant,1962-10-16,60921c4df6ac4e5a47f281ef545a6500,1382656339,42.185839,-74.193148,1,4.23597526550293
213882,2020-09-05 03:07:28,4417677808209716,fraud_Stracke-Lemke,grocery_pos,277.3,Renee,Jones,F,914 Nancy Square,Birmingham,AL,35211,33.4816,-86.859,493806,Operational investment banker,2000-03-28,2ff8280b90021e7de18116e841aaf427,1378350448,33.061425,-86.80184,1,3.6090190410614
425694,2020-12-03 02:59:57,213126662687660,fraud_Bogisich-Homenick,misc_net,585.03,Christopher,Luna,M,242 Brian Mountain,Laredo,TX,78040,27.5155,-99.4986,248858,Video editor,1971-01-28,3a588cc38c0fca5549e42b8a8ca2e2a0,1386039597,26.535587,-98.855474,0,2.65425825119019
56745,2020-07-11 03:58:59,38544312728630,fraud_Friesen Inc,shopping_pos,730.65,Veronica,Burton,F,08932 Bonnie Stravenue,Bonita Springs,FL,34135,26.3771,-81.7334,51427,Claims inspector/assessor,1991-08-21,0a08fed1b670277ce0e1aed3b79ea03b,1373515139,26.283094,-81.310425,1,3.74714541435242
278017,2020-10-03 03:14:55,3585052663373890,fraud_Funk Group,grocery_net,17.1,Jeffery,Brown,M,296 Maria Street,West Eaton,NY,13484,42.8546,-75.6605,176,Science writer,1963-12-28,3697f26d5e010de2cad2c462140dd146,1380770095,43.627621,-76.173595,1,4.30385255813599
213669,2020-09-04 23:54:40,3550412175018089,"fraud_Mosciski, Ziemann and Farrell",shopping_net,1113.85,Morgan,James,F,742 Sellers Ferry,Lexington,KY,40502,38.0174,-84.4854,296965,Software engineer,1962-12-30,388d8fa9368497e8f2943600d6276279,1378338880,38.913846,-83.831596,1,3.51327276229858
248840,2020-09-20 11:29:11,3565196229855512,fraud_Zboncak LLC,food_dining,52.47,Adriana,Harvey,F,715 Joy Prairie,Unionville,MO,63565,40.4815,-92.9951,3805,"Investment banker, corporate",1950-09-15,62a407c8736f8ca516e4fb9d4e05a0e6,1379676551,39.535468,-93.578866,0,2.85730910301208
347122,2020-11-02 08:42:29,376445266762684,fraud_Kuhn LLC,misc_net,2.05,Rachel,Lowe,F,372 Jeffrey Course,Sutherland,NE,69165,41.1558,-101.136,1789,Insurance broker,1982-02-11,121bfa89400e7341df304a193c4c9ee8,1383381749,41.852203,-101.461414,0,2.96648001670837
406726,2020-11-28 21:40:54,4683638447911,"fraud_Roberts, Daniel and Macejkovic",kids_pets,48.77,Daniel,Boyd,M,8925 Nicholas Points,Egan,LA,70531,30.251,-92.5002,1261,Broadcast presenter,1972-07-01,f6962ec18151977ea7a1816035df75ab,1385674854,29.955116,-91.658028,0,2.59966373443604
58707,2020-07-11 23:27:48,501882822387,"fraud_Reichert, Huels and Hoppe",shopping_net,1166,Melissa,Phillips,F,5069 Scott Pass Apt. 654,Meadville,MS,39653,31.4285,-90.8578,2799,"Therapist, horticultural",1961-01-21,132eedacbd368a5bd3d9fa904ea4bf35,1373585268,30.777478,-90.537908,1,3.54246044158936
437693,2020-12-06 08:59:22,371284100299909,fraud_Wiegand-Lowe,grocery_net,68.65,Hannah,Thomas,F,1004 Willis Pass,Hedley,TX,79237,34.8698,-100.6806,513,Early years teacher,1976-05-24,cb8d1fdf24f0f020ac69d6aa3eb8bd72,1386320362,35.431596,-100.547693,0,2.69566440582275
